,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
616,2006,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,170,Somewhat clean,Very safe,Somewhat satisfied
617,3239,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,95,Clean,Very safe,Very satisfied
618,2825,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,93,Clean,Very safe,Very satisfied
620,2201,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,165,Clean,Very safe,Somewhat satisfied
621,644,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,125,Clean,Very safe,Somewhat satisfied
622,1286,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,120,Clean,Very safe,Very satisfied
623,3042,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied
625,336,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,12/31/2018,96,Clean,Very safe,Somewhat satisfied
627,2426,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,85,Somewhat clean,Somewhat safe,Somewhat satisfied
629,3225,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,214,Somewhat clean,Somewhat safe,Neutral
630,1598,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,12/31/2018,150,Clean,Very safe,Somewhat satisfied
631,2552,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,63,Somewhat clean,Neutral,Somewhat satisfied
632,2802,Tuesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,120,Clean,Very safe,Somewhat satisfied
633,3128,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,75,Clean,Very safe,Very satisfied
634,945,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,90,Somewhat clean,Somewhat safe,Somewhat satisfied
635,2564,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,93,Somewhat clean,Somewhat safe,Somewhat satisfied
636,1707,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,210,Average,Very safe,Somewhat satisfied
637,2873,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,12/31/2018,180,Average,Very safe,Somewhat satisfied
638,2540,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,63,Somewhat clean,Very safe,Somewhat satisfied
639,462,Sunday,ALASKA,LAS VEGAS,West US,Hub,Gates 50-59,12/31/2018,90,Clean,Very safe,Somewhat satisfied
640,1873,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,205,Somewhat clean,Very safe,Somewhat satisfied
641,1016,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
642,370,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,195,Somewhat clean,Somewhat safe,Somewhat satisfied
643,2151,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,155,Clean,Very safe,Very satisfied
644,1872,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,295,Somewhat clean,Very safe,Somewhat satisfied
645,1576,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,12/31/2018,125,Somewhat clean,Very safe,Neutral
646,2541,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
647,1301,Thursday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,156,Somewhat clean,Somewhat safe,Very satisfied
648,3040,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,155,Somewhat clean,Very safe,Somewhat satisfied
649,1360,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,Hub,Gates 91-102,12/31/2018,225,Average,Somewhat safe,Somewhat satisfied
650,2469,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,121,Average,Very safe,Somewhat unsatisfied
651,543,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,165,Somewhat clean,Very safe,Somewhat satisfied
652,2925,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,250,Clean,Very safe,Somewhat satisfied
653,2685,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,100,Somewhat clean,Very safe,Somewhat satisfied
654,2268,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
656,2041,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,12/31/2018,180,Average,Somewhat safe,Somewhat unsatisfied
657,2167,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,333,Clean,Very safe,Very satisfied
658,3088,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,97,Clean,Very safe,Somewhat satisfied
659,2948,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,135,Clean,Very safe,Somewhat satisfied
660,443,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,113,Clean,Somewhat safe,Somewhat satisfied
661,278,Thursday,UNITED,BALTIMORE,EAST US,Medium,Gates 70-90,12/31/2018,134,Somewhat clean,Somewhat safe,Neutral
662,2457,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,154,Clean,Very safe,Neutral
663,1526,Wednesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,101,Somewhat clean,Somewhat safe,Neutral
664,2689,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,150,Somewhat clean,Very safe,Neutral
665,3055,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,335,Average,Somewhat safe,Somewhat satisfied
666,2136,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,380,Clean,Neutral,Neutral
667,1450,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,12/31/2018,82,Clean,Very safe,Very satisfied
668,2415,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,12/31/2018,190,Clean,Somewhat safe,Somewhat satisfied
669,729,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,245,Somewhat clean,Somewhat safe,Neutral
670,2232,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,12/31/2018,60,Somewhat clean,Very safe,Somewhat satisfied
671,1452,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,12/31/2018,82,Clean,Very safe,Very satisfied
672,1705,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,225,Somewhat clean,Somewhat safe,Somewhat satisfied
673,1543,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,170,Average,Very safe,Neutral
674,618,Tuesday,ALASKA,WASHINGTON DC-DULLES,EAST US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Somewhat satisfied
675,1726,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,105,Clean,Very safe,Somewhat satisfied
676,2209,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,135,Somewhat clean,Somewhat safe,Neutral
677,1786,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,135,Somewhat clean,Very safe,Somewhat satisfied
678,2625,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,120,Somewhat clean,Very safe,Somewhat satisfied
679,1760,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,145,Average,Somewhat safe,Somewhat satisfied
680,2732,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,270,Somewhat clean,Somewhat safe,Neutral
681,711,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Somewhat safe,Neutral
682,943,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,135,Somewhat clean,Very safe,Somewhat satisfied
684,1910,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,140,Somewhat clean,Neutral,Very satisfied
685,2027,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,150,Average,Very safe,Somewhat satisfied
688,365,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat satisfied
689,3005,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,12/31/2018,100,Average,Somewhat safe,Somewhat satisfied
690,1502,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,12/31/2018,150,Average,Somewhat safe,Somewhat satisfied
691,2621,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,125,Clean,Very safe,Very satisfied
692,1639,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,170,Clean,Very safe,Somewhat satisfied
693,2733,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,160,Clean,Somewhat safe,Neutral
694,2021,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,12/31/2018,160,Average,Neutral,Neutral
695,629,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Somewhat satisfied
696,3026,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,120,Clean,Very safe,Very satisfied
697,1671,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,125,Somewhat clean,Somewhat safe,Very satisfied
698,3248,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,75,Clean,Very safe,Very satisfied
699,684,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,230,Somewhat clean,Very safe,Somewhat satisfied
701,1905,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,128,Somewhat clean,Neutral,Somewhat satisfied
703,774,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,220,Somewhat clean,Very safe,Neutral
704,2917,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,12/31/2018,15,Clean,Very safe,Very satisfied
705,1459,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,85,Clean,Neutral,Very satisfied
706,1178,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,115,Somewhat clean,Very safe,Somewhat satisfied
707,2691,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,12/31/2018,367,Average,Neutral,Neutral
708,857,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,154,Clean,Somewhat safe,Somewhat satisfied
709,3148,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,60,Somewhat clean,Somewhat safe,Somewhat satisfied
710,1519,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,115,Somewhat clean,Very safe,Somewhat satisfied
711,1126,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,105,Average,Very safe,Somewhat satisfied
712,3269,Tuesday,UNITED,LAS VEGAS,West US,Hub,Gates 70-90,12/31/2018,85,Average,Somewhat safe,Neutral
714,1960,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,165,Somewhat clean,Neutral,Neutral
715,2545,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,83,Somewhat clean,Very safe,Neutral
718,2582,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,90,Somewhat clean,Somewhat safe,Neutral
719,358,Friday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,80,Somewhat clean,Somewhat safe,Neutral
720,2912,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,12/31/2018,60,Somewhat clean,Somewhat safe,Somewhat satisfied
721,2030,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat unsatisfied
722,2242,Wednesday,WOW,REYKJAVIK,eur,Small,Gates 91-102,12/31/2018,156,Somewhat clean,Somewhat safe,Neutral
723,2556,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,108,Somewhat clean,Somewhat safe,Neutral
724,853,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,85,Somewhat clean,Somewhat safe,Very satisfied
725,3168,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,110,Clean,Somewhat safe,Very satisfied
726,2234,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,12/31/2018,60,Clean,Very safe,Somewhat satisfied
727,2765,Sunday,WOW,REYKJAVIK,eur,Small,Gates 1-12,12/31/2018,175,Somewhat clean,Very safe,Somewhat satisfied
728,3092,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,173,Average,Somewhat safe,Neutral
729,285,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,12/31/2018,164,Average,Somewhat safe,Neutral
730,1480,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,130,Somewhat clean,Somewhat safe,Somewhat satisfied
731,3175,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,60,Clean,Very safe,Somewhat satisfied
732,2770,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,90,Somewhat clean,Very safe,Somewhat satisfied
733,3033,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satisfied
734,1661,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,150,Average,Neutral,Very satisfied
735,2634,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,60,Somewhat clean,Somewhat safe,Neutral
736,1987,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,12/31/2018,145,Average,Neutral,Neutral
737,1861,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,145,Somewhat clean,Very safe,Somewhat satisfied
738,1278,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,320,Average,Somewhat safe,Somewhat satisfied
739,1841,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub,Gates 91-102,12/31/2018,300,Clean,Very safe,Very satisfied
740,341,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,12/31/2018,98,Clean,Somewhat safe,Somewhat satisfied
741,1978,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,12/31/2018,155,Clean,Somewhat safe,Very satisfied
743,319,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,60,Clean,Neutral,Very satisfied
744,1636,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,195,Clean,Very safe,Somewhat satisfied
745,3292,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,145,Clean,Very safe,Very satisfied
746,3203,Tuesday,UNITED,ONTARIO (CALIF),West US,Small,Gates 70-90,12/31/2018,245,Clean,Very safe,Very satisfied
747,1898,Monday,LUFTHANSA,MUNICH,eur,Hub,Gates 91-102,12/31/2018,235,Somewhat dirty,Neutral,Neutral
748,633,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,95,Somewhat clean,Somewhat safe,Neutral
749,1385,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,235,Clean,Very safe,Very satisfied
751,2069,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,12/31/2018,177,Clean,Somewhat safe,Somewhat satisfied
752,299,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,130,Average,Neutral,Neutral
753,2730,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,122,Somewhat clean,Very safe,Somewhat satisfied
754,1676,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Very safe,Somewhat satisfied
755,3282,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,80,Somewhat clean,Very safe,Somewhat satisfied
756,2112,Tuesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,121,Somewhat clean,Very safe,Very satisfied
757,1986,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,12/31/2018,145,Average,Somewhat safe,Somewhat satisfied
758,2595,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,147,Somewhat clean,Somewhat safe,Somewhat satisfied
759,814,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,185,Clean,Very safe,Very satisfied
760,2551,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,135,Average,Very safe,Neutral
761,1965,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Somewhat safe,Somewhat satisfied
762,2640,Tuesday,JETBLUE,NEW YORK-JFK,EAST US,Hub,Gates 1-12,12/31/2018,113,Average,Somewhat safe,Very unsatisfied
763,395,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,205,Somewhat clean,Very safe,Somewhat satisfied
764,728,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Clean,Very safe,Very satisfied
765,1215,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,55,Clean,Somewhat safe,Somewhat satisfied
766,2314,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,12/31/2018,150,Clean,Somewhat safe,Somewhat satisfied
767,1718,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,210,Average,Somewhat safe,Neutral
768,2383,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,12/31/2018,215,Clean,Very safe,Somewhat satisfied
769,584,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,95,Clean,Neutral,Somewhat satisfied
770,1770,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,85,Clean,Very safe,Somewhat satisfied
771,642,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,125,Somewhat clean,Neutral,Neutral
772,1865,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,505,Clean,Somewhat safe,Somewhat satisfied
773,2100,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,49,Somewhat clean,Very safe,Somewhat satisfied
774,2647,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,132,Somewhat clean,Neutral,Neutral
775,1982,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,Hub,Gates 1-12,12/31/2018,265,Average,Somewhat safe,Neutral
776,1973,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,125,Clean,Very safe,Very satisfied
777,310,Tuesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,12/31/2018,95,Clean,Very safe,Somewhat satisfied
778,2386,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,12/31/2018,215,Somewhat clean,Very safe,Very satisfied
779,295,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,190,Average,Neutral,Neutral
780,2301,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satisfied
781,1253,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,12/31/2018,195,Somewhat clean,Somewhat safe,Very satisfied
782,1649,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,170,Somewhat clean,Very safe,Somewhat satisfied
783,3279,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,125,Somewhat clean,Neutral,Somewhat satisfied
784,863,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,65,Somewhat clean,Very safe,Neutral
785,2771,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,12/31/2018,150,Somewhat clean,Very safe,Somewhat satisfied
786,1547,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,240,Clean,Somewhat safe,Somewhat satisfied
787,750,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,235,Somewhat clean,Somewhat safe,Somewhat satisfied
788,2285,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,225,Somewhat clean,Somewhat safe,Neutral
789,3214,Tuesday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,12/31/2018,75,Somewhat clean,Somewhat safe,Neutral
790,2172,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,153,Clean,Somewhat safe,Somewhat satisfied
791,576,Thursday,JETBLUE,BOSTON,EAST US,Large,Gates 1-12,12/31/2018,112,Somewhat clean,Somewhat safe,Very satisfied
792,404,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,12/31/2018,85,Clean,Somewhat safe,Somewhat satisfied
794,2254,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,185,Clean,Very safe,Very satisfied
795,682,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,125,Somewhat clean,Somewhat safe,Neutral
796,2028,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,95,Somewhat clean,Somewhat safe,Very satisfied
798,854,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,109,Somewhat clean,Very safe,Very satisfied
799,1675,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,85,Somewhat clean,Very safe,Somewhat satisfied
800,1604,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,320,Somewhat clean,Somewhat safe,Somewhat satisfied
801,534,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,225,Clean,Very safe,Somewhat satisfied
802,2829,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,93,Somewhat clean,Very safe,Somewhat satisfied
803,1822,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,215,Clean,Very safe,Somewhat satisfied
805,1948,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,115,Somewhat clean,Neutral,Neutral
806,2950,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,115,Average,Somewhat safe,Neutral
807,2508,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,100,Somewhat clean,Very safe,Somewhat satisfied
808,292,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,190,Average,Neutral,Somewhat satisfied
809,876,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,265,Clean,Somewhat safe,Very satisfied
810,2120,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,79,Somewhat clean,Somewhat safe,Somewhat satisfied
811,2764,Thursday,DELTA,ATLANTA,EAST US,Hub,Gates 40-48,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satisfied
812,787,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,850,Somewhat clean,Very safe,Neutral
813,2883,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,12/31/2018,180,Somewhat clean,Very safe,Somewhat satisfied
814,421,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,105,Somewhat clean,Very safe,Very satisfied
815,2683,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,210,Somewhat clean,Very safe,Somewhat satisfied
816,2805,Tuesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,360,Somewhat clean,Somewhat safe,Very satisfied
817,2554,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,93,Clean,Somewhat safe,Very satisfied
818,472,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,91,Somewhat clean,Very safe,Somewhat satisfied
819,2535,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,160,Somewhat clean,Somewhat safe,Somewhat satisfied
821,613,Thursday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,140,Average,Neutral,Somewhat satisfied
822,2694,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,150,Clean,Somewhat safe,Very satisfied
823,808,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,120,Clean,Very safe,Very satisfied
825,574,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,75,Clean,Very safe,Very satisfied
827,2984,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,12/31/2018,225,Clean,Very safe,Somewhat satisfied
828,425,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,177,Somewhat clean,Somewhat safe,Somewhat satisfied
829,3160,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,20,Clean,Very safe,Neutral
830,2514,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,84,Somewhat clean,Very safe,Neutral
