,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
482,2001,actress,8/6/2001,Acting,Andie MacDowell
483,2001,comedian,8/7/2001,Comedy,Joe Rogan
484,2001,Model,8/8/2001,Media,Tara Reid
485,2001,actor,8/9/2001,Acting,Jason Biggs
486,2001,Rock band,9/10/2001,Musician,They Might Be Giants
487,2001,guitarist,9/11/2001,Musician,Dave Navarro
488,2001,essayist,9/24/2001,Media,Frank Rich
489,2001,broadcaster,9/25/2001,Media,Aaron Brown
490,2001,journalist,9/26/2001,Media,Jeff Greenfield
491,2001,Rock duo,9/27/2001,Musician,Tenacious D
492,2002,actor,1/10/2002,Acting,Jack Black
493,2002,journalist,1/14/2002,Media,Lesley Stahl
494,2002,actor,1/15/2002,Acting,Ian McKellen
495,2002,actor,1/16/2002,Acting,Colin Hanks
496,2002,actor,1/17/2002,Acting,Jeremy Northam
497,2002,minister,1/21/2002,Clergy,Al Sharpton
498,2002,actor,1/22/2002,Acting,Anthony LaPaglia
499,2002,actor,1/23/2002,Acting,Harold Ramis
500,2002,Journalist,1/24/2002,Media,Sebastian Junger
501,2002,journalist,1/28/2002,Media,Ron Insana
502,2002,novelist,1/29/2002,Media,Elmore Leonard
503,2002,journalist,1/30/2002,Media,John King
504,2002,actor,1/31/2002,Acting,Jason Schwartzman
505,2002,actress,1/8/2002,Acting,Anjelica Huston
506,2002,actor,1/9/2002,Acting,Luke Wilson
507,2002,actor,10/1/2002,Acting,Patrick Dempsey
508,2002,Host,10/10/2002,Media,Oliver North
509,2002,NaN,10/14/2002,NaN,Road to Washington Special
510,2002,news anchor,10/15/2002,Media,Judy Woodruff
511,2002,Comedian,10/16/2002,Comedy,Richard Lewis
512,2002,actor,10/17/2002,Acting,Greg Kinnear
513,2002,actor,10/2/2002,Acting,David Schwimmer
514,2002,former american senator,10/28/2002,Politician,John Edwards
515,2002,assistant secretary of defense,10/29/2002,Government,Victoria Clarke
516,2002,actress,10/3/2002,Acting,Rita Wilson
517,2002,Former Assistant to the President for Communic...,10/30/2002,Political Aide,Pat Buchanan
518,2002,Broadcaster,10/31/2002,Media,Ted Koppel
519,2002,actor,10/7/2002,Acting,Jake Gyllenhaal
520,2002,actress,10/8/2002,Acting,Jill Hennessy
521,2002,Journalist,10/9/2002,Media,Peter Jennings
522,2002,journalist,11/12/2002,Media,Alexandra Pelosi
523,2002,actor,11/13/2002,Acting,Kiefer Sutherland
524,2002,actor,11/14/2002,Acting,Tom Arnold
525,2002,rapper,11/18/2002,Musician,Ja Rule
526,2002,former us representativ,11/19/2002,Politician,Harold Ford
527,2002,journalist,11/20/2002,Media,Catherine Crier
528,2002,actor,11/21/2002,Acting,Kevin James
529,2002,singer-songwriter,11/4/2002,Musician,Christina Aguilera
530,2002,us senator,11/5/2002,Politician,John McCain
531,2002,news anchor,11/6/2002,Media,Candy Crowley
532,2002,singer-songwriter,11/7/2002,Musician,Jakob Dylan
533,2002,Journalist,12/10/2002,Media,Tom Brokaw
534,2002,actress,12/11/2002,Acting,Sandra Bullock
535,2002,actress,12/12/2002,Acting,Anna Paquin
536,2002,us senator,12/16/2002,Politician,Charles Schumer
537,2002,basketball player,12/17/2002,Athletics,Charles Barkley
538,2002,actor,12/18/2002,Acting,Edward Norton
539,2002,actor,12/19/2002,Acting,John Cusack
540,2002,actor,12/2/2002,Acting,Andy Richter
541,2002,editor,12/3/2002,Media,Katrina vanden Heuvel
542,2002,stand-up comedian,12/4/2002,Comedy,Colin Quinn
543,2002,actor,12/5/2002,Acting,Rob Schneider
544,2002,former vice president,12/9/2002,Politician,Al Gore
545,2002,actor,2/11/2002,Acting,Scott Bakula
546,2002,television personality,2/12/2002,Media,John Stossel
547,2002,activist,2/13/2002,Advocacy,Ralph Nader
548,2002,actress,2/14/2002,Acting,Rebecca Romijn
549,2002,actress,2/19/2002,Acting,Jeri Ryan
550,2002,editor,2/20/2002,Media,Bethany McLean
551,2002,Filmmaker,2/21/2002,Media,Michael Moore
552,2002,Film director,2/4/2002,Media,Ron Howard
553,2002,commentator,2/5/2002,Media,Greta Van Susteren
554,2002,rapper,2/6/2002,Musician,LL Cool J
555,2002,singer-songwriter,2/7/2002,Musician,Barry Manilow
556,2002,actress,3/11/2002,Acting,Bea Arthur
557,2002,actor,3/12/2002,Acting,Denis Leary
558,2002,journalist,3/13/2002,Media,Joe Klein
559,2002,television host,3/14/2002,Media,Bill O'Reilly
560,2002,actor,3/18/2002,Acting,Andy Richter
561,2002,us senator,3/19/2002,Politician,John McCain
562,2002,actor,3/20/2002,Acting,John Leguizamo
563,2002,actor,3/21/2002,Acting,Aidan Quinn
564,2002,journalist,3/4/2002,Media,David Remnick
565,2002,Comedian,3/5/2002,Comedy,Richard Lewis
566,2002,actress,3/6/2002,Acting,Milla Jovovich
567,2002,actor,3/7/2002,Acting,Tom Arnold
568,2002,Journalist,4/1/2002,Media,Paula Zahn
569,2002,actress,4/10/2002,Acting,Patricia Arquette
570,2002,rock band,4/11/2002,Musician,The Goo Goo Dolls
571,2002,actor,4/15/2002,Acting,Samuel L. Jackson
572,2002,editor,4/16/2002,Media,Lisa Beyer
573,2002,Model,4/17/2002,Media,Tara Reid
574,2002,actor,4/18/2002,Acting,Richard Dreyfuss
575,2002,journalist,4/2/2002,Media,David Brock
576,2002,actor,4/22/2002,Acting,Michael Clarke Duncan
577,2002,actor,4/23/2002,Acting,Beau Bridges
578,2002,singer-songwriter,4/24/2002,Musician,Elvis Costello
579,2002,journalist,4/25/2002,Media,H.W. Crocker III
580,2002,editor,4/29/2002,Media,Susan Caskie
581,2002,actor,4/3/2002,Acting,Jon Favreau
582,2002,singer-songwriter,4/30/2002,Musician,Alanis Morissette
583,2002,actress,4/4/2002,Acting,Ashley Judd
584,2002,actor,4/8/2002,Acting,Tony Danza
585,2002,news anchor,4/9/2002,Media,Judy Woodruff
586,2002,Broadcaster,5/1/2002,Media,Robin Roberts
587,2002,Singer-songwriter,5/13/2002,Musician,Moby
588,2002,actor,5/14/2002,Acting,Liev Schreiber
589,2002,actor,5/15/2002,Acting,Rupert Everett
590,2002,actress,5/16/2002,Acting,Allison Janney
591,2002,actor,5/2/2002,Acting,Willem Dafoe
592,2002,NaN,5/23/2002,NaN,Matt Walsh Goes To Hawaii
593,2002,actor,5/6/2002,Acting,Simon Baker
594,2002,Writer,5/7/2002,Media,Mark Bowden
595,2002,actress,5/8/2002,Acting,Diane Lane
596,2002,actor,5/9/2002,Acting,David Boreanaz
597,2002,actor,6/11/2002,Acting,Val Kilmer
598,2002,Former Mayor of New York City,6/12/2002,Politician,Michael Bloomberg
599,2002,author,6/13/2002,Media,Joseph Cirincione
600,2002,actor,6/17/2002,Acting,Freddie Prinze Jr.
601,2002,actor,6/18/2002,Acting,Christian Slater
602,2002,journalist,6/19/2002,Media,Cynthia McFadden
603,2002,stand-up comedian,6/20/2002,Comedy,David Cross Bob Odenkirk
604,2002,actor,6/20/2002,Acting,David Cross Bob Odenkirk
605,2002,actor,6/24/2002,Acting,Colin Farrell
606,2002,lawyer,6/25/2002,Misc,David Scheffer
607,2002,actor,6/26/2002,Acting,Paul Sorvino
608,2002,soccer player,6/27/2002,Athletics,Clint Mathis
609,2002,actor,6/3/2002,Acting,Colin Firth
610,2002,journalist,6/4/2002,Media,Ashleigh Banfield
611,2002,actor,6/6/2002,Acting,Charles Grodin
612,2002,rapper,7/10/2002,Musician,Busta Rhymes
613,2002,television Personality,7/11/2002,Media,Steve Irwin
614,2002,actor,7/15/2002,Acting,John Ritter
615,2002,actress,7/16/2002,Acting,Michelle Williams
616,2002,commentator,7/17/2002,Media,Ann Coulter
617,2002,actress,7/18/2002,Acting,Natasha Henstridge
618,2002,actor,7/22/2002,Acting,Regis Philbin
619,2002,actor,7/23/2002,Acting,Tim Blake Nelson
620,2002,actor,7/24/2002,Acting,Steven Weber
621,2002,actor,7/25/2002,Acting,Seth Green
622,2002,actress,7/29/2002,Acting,Cynthia Nixon
623,2002,actor,7/30/2002,Acting,Robert Wagner
624,2002,Comedian,7/31/2002,Comedy,Martin Lawrence
625,2002,actor,7/8/2002,Acting,Adam Sandler
626,2002,journalist,7/9/2002,Media,John King
627,2002,actor,8/1/2002,Acting,Mike Myers
628,2002,actor,8/12/2002,Acting,Michael C. Hall
629,2002,Critic,8/13/2002,Media,Scott Ritter
630,2002,actor,8/14/2002,Acting,Kevin Nealon
631,2002,Journalist,8/15/2002,Media,Rich Eisen
632,2002,actor,8/19/2002,Acting,Denis Leary
633,2002,journalist,8/20/2002,Media,Jim Lehrer
634,2002,actor,8/21/2002,Acting,Robin Williams
635,2002,actor,8/22/2002,Acting,Matthew Perry
636,2002,us senator,8/5/2002,Politician,Charles Schumer
637,2002,actor,8/6/2002,Acting,Antonio Banderas
638,2002,actor,8/7/2002,Acting,Vin Diesel
639,2002,actor,8/8/2002,Acting,Paul Rudd
640,2002,actor,9/10/2002,Acting,Zach Braff
641,2002,Author,9/12/2002,Media,Sarah Vowell
642,2002,journalist,9/16/2002,Media,John Miller
643,2002,actor,9/17/2002,Acting,Jason Lee
644,2002,actor,9/18/2002,Acting,Damon Wayans
645,2002,actor,9/19/2002,Acting,Djimon Hounsou
646,2002,actress,9/24/2002,Acting,Kate Hudson
647,2002,white house sommunications director,9/25/2002,Political Aide,George Stephanopoulos
648,2002,actress,9/26/2002,Acting,Goldie Hawn
649,2002,actress,9/30/2002,Acting,Bonnie Hunt
650,2002,actress,9/9/2002,Acting,Lorraine Bracco
651,2003,actress,1/13/2003,Acting,Kathy Bates
652,2003,Filmmaker,1/14/2003,Media,Michael Moore
653,2003,comedian,1/15/2003,Comedy,Dave Chappelle
654,2003,former us senator,1/16/2003,Politician,Joseph Lieberman
655,2003,television host,1/20/2003,Media,Merv Griffin
656,2003,television producer,1/21/2003,Media,Simon Cowell
657,2003,actor,1/22/2003,Acting,John C. Reilly
658,2003,television host,1/23/2003,Media,Jimmy Kimmel
659,2003,actress,1/27/2003,Acting,Rosie Perez
660,2003,actor,1/28/2003,Acting,Sam Rockwell
661,2003,journalist,1/29/2003,Media,Jeff Greenfield
662,2003,actor,1/30/2003,Acting,Laurence Fishburne
663,2003,actress,1/7/2003,Acting,Cameron Diaz
664,2003,actor,1/8/2003,Acting,Ray Liotta
665,2003,actor,1/9/2003,Acting,Philip Seymour Hoffman
666,2003,actress,10/1/2003,Acting,Vivica A. Fox
667,2003,actor,10/2/2003,Acting,Rob Lowe
668,2003,former national security advisio\r,10/20/2003,Government,Henry Kissinger
669,2003,actress,10/21/2003,Acting,Angelina Jolie
670,2003,Writer,10/22/2003,Media,Walter Isaacson
671,2003,actor,10/23/2003,Acting,Anthony Hopkins
672,2003,actor,10/27/2003,Acting,Ted Danson
673,2003,Comedian,10/28/2003,Comedy,Wanda Sykes
674,2003,Stand-up comedian,10/29/2003,Comedy,Norm Macdonald
675,2003,Novelist,10/30/2003,Media,Neal Pollack
676,2003,Filmmaker,10/6/2003,Media,Michael Moore
677,2003,actor,10/7/2003,Acting,Ronny Cox Marc Singer Robert Amstler Arianna H...
678,2003,us senator,10/8/2003,Politician,Sen. Hillary Clinton
679,2003,actor,10/9/2003,Acting,Tim Robbins
680,2003,actor,11/10/2003,Acting,Will Ferrell
681,2003,actor,11/11/2003,Acting,Peter Dinklage
682,2003,Rapper,11/12/2003,Musician,Wyclef Jean
683,2003,actor,11/13/2003,Acting,Brendan Fraser
684,2003,model,11/17/2003,Media,Heidi Klum
685,2003,writer,11/18/2003,Media,Bernard Goldberg
686,2003,actor,11/19/2003,Acting,James Spader
687,2003,actor,11/20/2003,Acting,Billy Bob Thornton
688,2003,NaN,11/24/2003,NaN,Who are the Daily Show? Special
689,2003,actor,11/3/2003,Acting,Kyle MacLachlan
690,2003,Historian,11/4/2003,Academic,Michael Beschloss
691,2003,stand-up comedian,11/5/2003,Comedy,Bob Newhart
692,2003,actor,11/6/2003,Acting,Colin Firth
693,2003,actor,12/1/2003,Acting,Adam Goldberg
694,2003,us senator,12/10/2003,Politician,Sen. Zell Miller
695,2003,political figure,12/11/2003,Politician,Gen. Wesley Clark
696,2003,actress,12/15/2003,Acting,Maggie Gyllenhaal
697,2003,actor,12/16/2003,Acting,Ben Affleck
698,2003,actress,12/17/2003,Acting,Julia Stiles
699,2003,actress,12/18/2003,Acting,Natalie Portman
700,2003,us senator,12/2/2003,Politician,Sen. Tom Daschle
701,2003,radio host,12/3/2003,Media,Alan Colmes
702,2003,radio host,12/3/2003,Media,Sean Hannity
703,2003,actor,12/4/2003,Acting,Alec Baldwin
704,2003,actress,12/8/2003,Acting,Eva Mendes
705,2003,actor,12/9/2003,Acting,Steve Buscemi
706,2003,journalist,2/10/2003,Media,Joe Klein
707,2003,actress,2/11/2003,Acting,Bebe Neuwirth
708,2003,actor,2/12/2003,Acting,Michael Clarke Duncan
709,2003,actor,2/13/2003,Acting,Ben Affleck
710,2003,Journalist,2/18/2003,Media,Steve Kroft
711,2003,actor,2/19/2003,Acting,Jeff Daniels
712,2003,actor,2/20/2003,Acting,Luke Wilson
713,2003,pastor,2/3/2003,Clergy,Doug Wilson
714,2003,actress,2/4/2003,Acting,Kate Hudson
715,2003,author,2/5/2003,Media,Arianna Huffington
716,2003,commentator,2/6/2003,Media,David Frum
717,2003,correspondent,3/10/2003,Media,Les Gelb
718,2003,stand-up comedian,3/11/2003,Comedy,Colin Quinn
719,2003,former majority leader,3/12/2003,Politician,Dick Gephardt
720,2003,actor,3/13/2003,Acting,Tom Cavanagh
721,2003,historian,3/17/2003,Academic,Eric Alterman
722,2003,actor,3/18/2003,Acting,Jason Lee
723,2003,foreign policy expert,3/19/2003,Academic,John Hulsman
724,2003,actor,3/20/2003,Acting,Eddie Griffin
725,2003,editor,3/24/2003,Media,Jim Kelly
726,2003,actress,3/25/2003,Acting,Connie Nielsen
727,2003,Musician,3/26/2003,Musician,Ringo Starr
728,2003,actress,3/27/2003,Acting,Hilary Swank
729,2003,comedian,3/3/2003,Comedy,Eric Idle
730,2003,comedian,3/31/2003,Comedy,Chris Rock
731,2003,Writer,3/4/2003,Media,Walter Isaacson
732,2003,actor,3/5/2003,Acting,Adrien Brody
733,2003,stand-up comedian,3/6/2003,Comedy,David Cross (show hosted by Stephen Colbert)
734,2003,writer,4/1/2003,Media,Anthony Swofford
735,2003,stand-up comedian,4/10/2003,Comedy,Dennis Miller
736,2003,actress,4/2/2003,Acting,Kelly Preston
737,2003,Film actor,4/21/2003,Acting,Patrick Stewart
738,2003,Film actress,4/22/2003,Acting,Rachel Weisz
739,2003,Comedian,4/23/2003,Comedy,Richard Lewis
740,2003,journalist,4/24/2003,Media,Fareed Zakaria
741,2003,neurosurgeon,4/28/2003,Science,Dr Sanjay Gupta
742,2003,actress,4/29/2003,Acting,Julia Louis-Dreyfus
743,2003,actor,4/3/2003,Acting,Colin Farrell
744,2003,actor,4/30/2003,Acting,John Malkovich
745,2003,political psychologist,4/7/2003,Consultant,Martha Burk
746,2003,actress,4/8/2003,Acting,Susan Sarandon
747,2003,lawyer,4/9/2003,Misc,Ambassador David Scheffer
748,2003,actress,5/1/2003,Acting,Famke Janssen
749,2003,singer,5/12/2003,Musician,Randy Jackson
750,2003,actor,5/13/2003,Acting,Joshua Jackson
751,2003,historian,5/14/2003,Academic,Diane Ravitch
752,2003,Journalist,5/15/2003,Media,Michael Kinsley
753,2003,NaN,5/26/2003,NaN,Iraq - A Look Baq (or how we learned to stop r...
754,2003,NaN,5/26/2003,NaN,Iraq - A Look Baq (or how we learned to stop r...
755,2003,Commentator,5/27/2003,Media,William Kristol
756,2003,journalist,5/28/2003,Media,Lisa Ling
757,2003,journalist,5/29/2003,Media,David Halberstam
758,2003,commentator,5/5/2003,Media,Chris Matthews
759,2003,author,5/6/2003,Media,Caroline Kennedy
760,2003,television presenter,5/7/2003,Media,Graham Norton
761,2003,actor,5/8/2003,Acting,Paul Rudd
762,2003,Former U.S. Representative,6/10/2003,Politician,Newt Gingrich
763,2003,Journalist,6/11/2003,Media,Sidney Blumenthal
764,2003,Rapper,6/12/2003,Musician,Ludacris
765,2003,actor,6/16/2003,Acting,Harrison Ford
766,2003,writer,6/17/2003,Media,Lewis Lapham
767,2003,singer-songwriter,6/18/2003,Musician,Kelly Clarkson
768,2003,actor,6/19/2003,Acting,Ron Livingston
769,2003,journalist,6/2/2003,Media,Bill Hemmer
770,2003,stand-up comedian,6/3/2003,Comedy,Eddie Izzard
771,2003,Former United States Secretary of State,6/4/2003,Politician,Madeleine Albright
772,2003,Singer,6/5/2003,Musician,Tyrese Gibson
773,2003,NaN,6/8/2003,NaN,Looking Beyond The Show
774,2003,actor,6/9/2003,Acting,Guy Pearce
775,2003,american television personality,7/10/2003,Media,Carson Daly
776,2003,actress,7/14/2003,Acting,Angelina Jolie
777,2003,former us senator,7/15/2003,Politician,Gary Hart
778,2003,actor,7/16/2003,Acting,Rowan Atkinson
779,2003,Comedian,7/17/2003,Comedy,Martin Lawrence
780,2003,actress,7/21/2003,Acting,Gabrielle Union
781,2003,actor,7/22/2003,Acting,Scott Glenn
782,2003,author,7/23/2003,Media,Dick Morris
783,2003,diplomat,7/24/2003,Government,Joseph C. Wilson
784,2003,television producer,7/28/2003,Media,Paul Teutul Sr. Paul Teutul Jr.
785,2003,designer,7/28/2003,Media,Paul Teutul Sr. Paul Teutul Jr.
786,2003,journalist,7/29/2003,Media,Brian Williams
787,2003,actress,7/30/2003,Acting,Alyson Hannigan
788,2003,Broadcaster,7/31/2003,Media,Soledad O'Brien
789,2003,Former White House Press Secretary,7/8/2003,Political Aide,Tony Snow
790,2003,author,7/9/2003,Media,Erica Jong
791,2003,actor,8/11/2003,Acting,Samuel L. Jackson
792,2003,actress,8/12/2003,Acting,Kim Cattrall
793,2003,actor,8/13/2003,Acting,Paul Giamatti
794,2003,-,8/14/2003,NaN,"Again, A Look Back"
795,2003,columnist,8/18/2003,Media,Jim Hightower
796,2003,actress,8/19/2003,Acting,Cynthia Nixon
797,2003,Puzzle Creator,8/20/2003,Media,Will Shortz
798,2003,former us representative,8/21/2003,Politician,Dennis Kucinich
799,2003,actor,8/4/2003,Acting,Denis Leary
800,2003,musician,8/5/2003,Musician,John Popper
801,2003,actor,8/6/2003,Acting,Robert Duvall
802,2003,television actress,8/7/2003,Acting,Tracey Ullman
803,2003,NaN,9/1/2003,NaN,"I'm a Correspondent, Please Don't Fire Me!"
804,2003,actress,9/10/2003,Acting,Kate Beckinsale
805,2003,NaN,9/11/2003,NaN,No Guest
806,2003,us senator,9/15/2003,Politician,Sen. John Edwards
807,2003,actor,9/15/2003,Acting,"Cuba Gooding, Jr."
808,2003,Former United States Secretary of State,9/16/2003,Politician,Madeleine Albright
809,2003,actor,9/17/2003,Acting,Charlie Sheen
810,2003,actress,9/18/2003,Acting,Christina Ricci
811,2003,actor,9/23/2003,Acting,Michael Caine
812,2003,actor,9/24/2003,Acting,Ben Stiller
813,2003,columnist,9/25/2003,Media,Jonah Goldberg
814,2003,actor,9/29/2003,Acting,Jack Black
815,2003,former us representative,9/30/2003,Politician,Joe Scarborough
816,2003,united states senator,9/9/2003,Politician,Al Franken
817,2004,Comedian,1/12/2004,Comedy,Richard Lewis
818,2004,scientist,1/13/2004,Science,Catherine Weitz
819,2004,former us senator,1/14/2004,Politician,Carol Moseley-Braun
820,2004,vice president,1/15/2004,Politician,Joe Biden
821,2004,actor,1/19/2004,Acting,Philip Seymour Hoffman
822,2004,comedian,1/20/2004,Comedy,Jeff Garlin
823,2004,us senator,1/21/2004,Politician,Sen. John McCain
824,2004,actress,1/22/2004,Acting,Erika Christensen
825,2004,writer,1/26/2004,Media,Ken Auletta
826,2004,Political Scientist,1/27/2004,Consultant,Richard Perle
827,2004,former governor of new jersey,1/28/2004,Politician,Christine Todd Whitman
828,2004,actor,1/29/2004,Acting,Kelsey Grammer
829,2004,Journalist,1/6/2004,Media,Tom Brokaw
830,2004,actor,1/7/2004,Acting,Elijah Wood
831,2004,actress,1/8/2004,Acting,Charlize Theron
832,2004,us representative,10/18/2004,Politician,Ed Koch
833,2004,actress,10/19/2004,Acting,Marisa Tomei
834,2004,journalist,10/20/2004,Media,Fareed Zakaria
835,2004,actor,10/21/2004,Acting,Billy Crudup
836,2004,Former United States Secretary of State,10/25/2004,Politician,Madeleine Albright
837,2004,former governor of nebraska,10/26/2004,Politician,Bob Kerrey
838,2004,civil rights activist,10/27/2004,Advocacy,Jesse Jackson
839,2004,author,10/28/2004,Media,John Zogby
840,2004,social activist,10/4/2004,Advocacy,Bishop Desmond Tutu
841,2004,actor,10/5/2004,Acting,Billy Bob Thornton
842,2004,journalist,10/6/2004,Media,Bob Schieffer
843,2004,television host,10/7/2004,Media,Bill O'Reilly
844,2004,television host,11/1/2004,Media,Chris Wallace
845,2004,Author,11/10/2004,Media,Tom Wolfe
846,2004,analyst,11/11/2004,Consultant,Kenneth Pollack
847,2004,former us senator,11/15/2004,Politician,Kay Bailey Hutchison
848,2004,Journalist,11/16/2004,Media,Tom Brokaw
849,2004,Historian,11/17/2004,Academic,Thomas Frank
850,2004,actor,11/18/2004,Acting,Woody Harrelson
851,2004,former govrnor of masssachusetts,11/2/2004,Politician,William Weld & Al Sharpton
852,2004,minister,11/2/2004,Clergy,William Weld & Al Sharpton
853,2004,actor,11/29/2004,Acting,Jude Law
854,2004,us senator,11/3/2004,Politician,Sen. Charles Schumer
855,2004,journalist,11/30/2004,Media,Brian Williams
856,2004,Commentator,11/4/2004,Media,William Kristol
857,2004,Businessman,11/9/2004,Business,Richard Branson
858,2004,author,12/1/2004,Media,Christopher Hitchens
859,2004,actor,12/13/2004,Acting,Kevin Spacey
860,2004,diplomat,12/14/2004,Government,Dore Gold
861,2004,comedian,12/15/2004,Comedy,Billy Connolly
862,2004,journalist,12/16/2004,Media,Katie Couric
863,2004,Author,12/2/2004,Media,Stephen King
864,2004,actress,12/6/2004,Acting,Isabella Rossellini
865,2004,Baseball player,12/7/2004,Athletics,Paul O'Neill
866,2004,Writer,12/8/2004,Media,Seth Mnookin
867,2004,actress,12/9/2004,Acting,Kate Bosworth
868,2004,comedian,2/10/2004,Comedy,Dave Chappelle
869,2004,actor,2/11/2004,Acting,Paul Rudd
870,2004,actress,2/12/2004,Acting,Drew Barrymore
871,2004,singer,2/2/2004,Musician,Randy Jackson
872,2004,television Personality,2/23/2004,Media,Tyra Banks
873,2004,writer,2/24/2004,Media,John Podhoretz
874,2004,Singer-songwriter,2/25/2004,Musician,Norah Jones
875,2004,actor,2/26/2004,Acting,Samuel L. Jackson
876,2004,business magnate,2/3/2004,Business,Donald Trump
877,2004,american politician,2/4/2004,Politician,Bob Dole
878,2004,Film actor,2/5/2004,Acting,Noah Wyle
879,2004,journalist,2/9/2004,Media,Charles Lewis
880,2004,television actress,3/1/2004,Acting,Edie Falco
881,2004,comedian,3/10/2004,Comedy,George Carlin
882,2004,Journalist,3/11/2004,Media,Paula Zahn
883,2004,us senator,3/15/2004,Politician,Sen. Charles Schumer
884,2004,television personality,3/16/2004,Media,John Stossel
885,2004,actor,3/17/2004,Acting,Mekhi Phifer
886,2004,actor,3/18/2004,Acting,Ethan Hawke
887,2004,Journalist,3/2/2004,Media,Mark Ebner
888,2004,Trumpeter,3/22/2004,Musician,Wynton Marsalis
889,2004,actor,3/23/2004,Acting,Tom Hanks
890,2004,actor,3/24/2004,Acting,Jamie Foxx
891,2004,united states senator,3/25/2004,Politician,Al Franken
892,2004,actress,3/29/2004,Acting,Jennifer Beals
893,2004,former mayor of new york,3/3/2004,Politician,Rudolph Giuliani
894,2004,Adviser,3/30/2004,Consultant,Richard A. Clarke
895,2004,public official,3/31/2004,Government,Karen Hughes
896,2004,actor,3/4/2004,Acting,Willem Dafoe
897,2004,actor,3/8/2004,Acting,Val Kilmer
898,2004,political figure,3/9/2004,Politician,Ed Gillespie
899,2004,stunt perfomrer,4/1/2004,Acting,Johnny Knoxville
900,2004,Singer-songwriter,4/19/2004,Musician,Melissa Etheridge
901,2004,actor,4/20/2004,Acting,Mark Ruffalo
902,2004,television host,4/21/2004,Media,John Gibson
903,2004,author,4/22/2004,Media,Arianna Huffington
904,2004,former governor of nebraska,4/26/2004,Politician,Bob Kerrey
905,2004,actress,4/27/2004,Acting,Rebecca Romijn
906,2004,journalist,4/28/2004,Media,Fareed Zakaria
907,2004,journalist,4/29/2004,Media,Bob Woodward
908,2004,comedian,4/5/2004,Comedy,Jerry Seinfeld
909,2004,actor,4/6/2004,Acting,Matthew Perry and Bruce Willis
910,2004,actor,4/6/2004,Acting,Matthew Perry and Bruce Willis
911,2004,actor,4/7/2004,Acting,Tim Robbins
912,2004,actor,4/8/2004,Acting,Jason Bateman
913,2004,us senator,5/10/2004,Politician,Sen. John McCain
914,2004,journalist,5/11/2004,Media,Tim Russert
915,2004,American Political figure,5/12/2004,Politician,Ken Mehlman
916,2004,Commentator,5/13/2004,Media,William Kristol
917,2004,film actress,5/3/2004,Acting,Janeane Garofalo
918,2004,diplomat,5/4/2004,Government,Joseph C. Wilson
919,2004,basketball player,5/5/2004,Athletics,Kareem Abdul-Jabbar
920,2004,actor,5/6/2004,Acting,Andy Richter
921,2004,stand-up comedian,6/1/2004,Comedy,David Cross
922,2004,actress,6/10/2004,Acting,Jennifer Love Hewitt
923,2004,actor,6/14/2004,Acting,Stanley Tucci
924,2004,physician,6/15/2004,Science,Hassan Ibrahim
925,2004,Former United States Secretary of Labor,6/16/2004,Politician,Robert Reich
926,2004,television presenter,6/17/2004,Media,Graham Norton
927,2004,journalist,6/2/2004,Media,Thomas Friedman
928,2004,Columnist,6/21/2004,Media,Stephen F. Hayes
929,2004,actress,6/22/2004,Acting,Ashley Judd
930,2004,actor,6/23/2004,Acting,Kevin Kline
931,2004,Filmmaker,6/24/2004,Media,Michael Moore
932,2004,Governor of Virginia,6/28/2004,Politician,Terry McAuliffe
933,2004,author,6/29/2004,Media,Edward Conlon
934,2004,Former Governor of New York,6/3/2004,Politician,Mario Cuomo
935,2004,journalist,6/30/2004,Media,Calvin Trillin
936,2004,author,6/7/2004,Media,Donna Brazile
937,2004,commentator,6/8/2004,Media,David Brooks
938,2004,Documentary Filmmaker,6/9/2004,Media,Morgan Spurlock
939,2004,Journalist,7/12/2004,Media,Wolf Blitzer
940,2004,Journalist,7/13/2004,Media,Michael Isikoff
941,2004,Author,7/14/2004,Media,Sarah Vowell
942,2004,actor,7/15/2004,Acting,Sacha Baron Cohen
943,2004,former governor of new mexico,7/27/2004,Politician,Gov. Bill Richardson
944,2004,us senator,7/28/2004,Politician,Sen. Joe Biden
945,2004,NaN,7/29/2004,NaN,None
946,2004,NaN,7/30/2004,NaN,None
947,2004,activist,7/6/2004,Advocacy,Ralph Nader (show hosted by Stephen Colbert)
948,2004,actor,7/7/2004,Acting,Will Ferrell
949,2004,actress,7/8/2004,Acting,Christina Applegate
950,2004,Columnist,8/10/2004,Media,Maureen Dowd
951,2004,actor,8/11/2004,Acting,Tom Cruise
952,2004,author,8/12/2004,Media,Bryan Keefer
953,2004,Former American senator,8/17/2004,Politician,Norm Coleman
954,2004,actor,8/18/2004,Acting,Burt Reynolds
955,2004,actor,8/19/2004,Acting,Seth Green
956,2004,us representative,8/2/2004,Politician,Rep. Henry Bonilla
957,2004,musician,8/23/2004,Musician,Robert Smith
958,2004,secretary of state,8/24/2004,Politician,John Kerry
959,2004,political figure,8/25/2004,Politician,Ed Gillespie
960,2004,Film director,8/3/2004,Media,Spike Lee
961,2004,0,8/30/2004,NaN,(None)
962,2004,Broadcaster,8/31/2004,Media,Ted Koppel
963,2004,film actor,8/4/2004,Acting,Aaron Eckhart
964,2004,actress,8/5/2004,Acting,Natalie Portman
965,2004,us president,8/9/2004,Politician,Bill Clinton
